Year, Day, S, I
1.000000,0.000000,0.750000,0.250000
1.002740,1.000000,0.410682,0.558506
1.005479,2.000000,0.146972,0.769858
1.008219,3.000000,0.043682,0.811563
1.010959,4.000000,0.012970,0.780815
1.013699,5.000000,0.004111,0.731479
1.016438,6.000000,0.001425,0.679903
1.019178,7.000000,0.000554,0.630414
1.021918,8.000000,0.000252,0.584048
1.024658,9.000000,0.000142,0.540934
1.027397,10.000000,0.000101,0.500949
1.030137,11.000000,0.000086,0.463901
1.032877,12.000000,0.000082,0.429587
1.035616,13.000000,0.000083,0.397811
1.038356,14.000000,0.000086,0.368386
1.041096,15.000000,0.000091,0.341141
1.043836,16.000000,0.000097,0.315913
1.046575,17.000000,0.000103,0.292554
1.049315,18.000000,0.000109,0.270925
1.052055,19.000000,0.000117,0.250898
1.054795,20.000000,0.000124,0.232355
1.057534,21.000000,0.000132,0.215185
1.060274,22.000000,0.000141,0.199286
1.063014,23.000000,0.000150,0.184565
1.065753,24.000000,0.000159,0.170934
1.068493,25.000000,0.000170,0.158313
1.071233,26.000000,0.000180,0.146626
1.073973,27.000000,0.000191,0.135805
1.076712,28.000000,0.000203,0.125784
1.079452,29.000000,0.000215,0.116506
1.082192,30.000000,0.000228,0.107914
1.084932,31.000000,0.000242,0.099959
1.087671,32.000000,0.000256,0.092592
1.090411,33.000000,0.000271,0.085770
1.093151,34.000000,0.000287,0.079453
1.095890,35.000000,0.000303,0.073604
1.098630,36.000000,0.000320,0.068187
1.101370,37.000000,0.000337,0.063170
1.104110,38.000000,0.000356,0.058525
1.106849,39.000000,0.000375,0.054223
1.109589,40.000000,0.000395,0.050239
1.112329,41.000000,0.000416,0.046550
1.115068,42.000000,0.000437,0.043133
1.117808,43.000000,0.000459,0.039969
1.120548,44.000000,0.000482,0.037038
1.123288,45.000000,0.000506,0.034324
1.126027,46.000000,0.000531,0.031810
1.128767,47.000000,0.000556,0.029481
1.131507,48.000000,0.000582,0.027325
1.134247,49.000000,0.000609,0.025327
1.136986,50.000000,0.000637,0.023477
1.139726,51.000000,0.000665,0.021763
1.142466,52.000000,0.000694,0.020175
1.145205,53.000000,0.000724,0.018704
1.147945,54.000000,0.000755,0.017341
